TipID	Category	TargetKey	Text	Weight	Enabled	Text_en
TIP_GWANGTONG_001	MAP	Map_GwangTongGyo	광통교는 1410년 태종 이방원이 계모 신덕왕후의 무덤 병풍석을 가져다 만든 다리예요. 계모를 향한 복수심에 사람들이 밟고 다니게 했다고 해요.	1	TRUE	Gwangtonggyo was built in 1410 by King Taejong from the stone screens of his stepmother Queen Sindeok's tomb. Legend says he let people trample it out of spite.
TIP_GWANGTONG_002	MAP	Map_GwangTongGyo	광통교는 조선시대 청계천에서 가장 큰 다리였어요. 정월 대보름이면 다리밟기(답교놀이)를 하러 온 사람들로 북적였답니다.	1	TRUE	Gwangtonggyo was the largest bridge over Cheonggyecheon in the Joseon era. On the first full moon of the year it was packed with people playing 'bridge-walking'.
TIP_NAMSAN_001	MAP	Map_NamsanTower	남산타워는 1969년 방송 전파를 쏘기 위해 세워졌어요. 타워 높이는 236.7m지만 남산 위에 있어 해발 480m에 달한답니다.	1	TRUE	Namsan Tower was built in 1969 to broadcast TV and radio. The tower itself is 236.7 m tall, but sitting on Namsan it reaches 480 m above sea level.
TIP_NAMSAN_002	MAP	Map_NamsanTower	조선시대 남산 꼭대기에는 봉수대가 있어서, 전국의 소식이 봉화 연기로 한양에 전해졌어요.	1	TRUE	In the Joseon era, a beacon station stood atop Namsan, relaying news from across the country to Hanyang with signal fires.
TIP_NAMSAN_101	MAP	Map_NamsanTower	높이 올라갈수록 강한 돌풍이 불어요! 예고가 뜨면 구조물 뒤에 숨어 추락을 피하세요.	1	TRUE	The higher you climb, the stronger the gusts! When a warning appears, hide behind a structure to avoid falling.
TIP_NAMSAN_102	MAP	Map_NamsanTower	재료는 케이블카로 배송돼요. 승강장에 도착한 재료를 제때 안 받으면 사라지니 주의!	1	TRUE	Materials arrive by cable car. Grab them at the station in time or they'll disappear!
TIP_NAMSAN_103	MAP	Map_NamsanTower	전망대를 완성하면 엘리베이터가 개통돼요. E키로 탑승하면 꼭대기까지 한 번에!	1	TRUE	Finish the observation deck to open the elevator. Press E to ride straight to the top!
TIP_LOTTE_001	MAP	Map_LotteWorld	1989년 문을 연 롯데월드 어드벤처는 세계 최대 실내 테마파크로 기네스북에 올랐어요.	1	TRUE	Opened in 1989, Lotte World Adventure entered the Guinness Book as the world's largest indoor theme park.
TIP_LOTTE_002	MAP	Map_LotteWorld	석촌호수는 원래 한강 물줄기였어요. 강을 매립하면서 남은 부분이 호수가 됐고, 그 위에 롯데월드 매직아일랜드가 세워졌답니다.	1	TRUE	Seokchon Lake was once part of the Han River. What remained after land reclamation became the lake, and Magic Island was built on it.
TIP_LOTTE_101	MAP	Map_LotteWorld	퍼레이드 예고가 뜨면 길을 비켜주세요! 행렬에 치이면 밀려나고 들고 있던 재료를 떨어뜨려요.	1	TRUE	When a parade warning appears, clear the way! Getting hit by the procession knocks you back and drops your materials.
TIP_LOTTE_102	MAP	Map_LotteWorld	퍼레이드는 광장과 매직아일랜드 사이를 가로질러요. 재료 운반은 행렬이 지나간 직후가 안전!	1	TRUE	The parade crosses between the plaza and Magic Island. The safest time to carry materials is right after it passes!
TIP_DDP_001	MAP	Map_Ddp	DDP는 세계 최대 규모의 3차원 비정형 건축물이에요. 외벽 알루미늄 패널 45,133장이 전부 다른 모양이랍니다.	1	TRUE	DDP is the world's largest three-dimensional free-form building. All 45,133 aluminum panels on its facade are different shapes.
TIP_DDP_002	MAP	Map_Ddp	DDP 공사 중 땅속에서 조선시대 유적이 쏟아져 나왔어요. 이간수문은 한양도성 성벽 아래로 물을 흘려보내던 수문이에요.	1	TRUE	Joseon-era relics poured out of the ground during DDP's construction. Igansumun was a sluice that let water flow under the Hanyang city wall.
TIP_DDP_101	MAP	Map_Ddp	수문이 열리면 수로에 물이 콸콸! 휩쓸리면 하류로 떠내려가고 재료도 떨어뜨려요.	1	TRUE	When the sluice opens, water floods the channel! Get swept away and you'll drift downstream and drop your materials.
TIP_GYEONGBOK_001	MAP	Map_Gyeongbokgung	경복궁은 1395년 태조 이성계가 세운 조선 제일의 궁궐이에요. '경복'은 큰 복을 누리라는 뜻이랍니다.	1	TRUE	Gyeongbokgung was built in 1395 by King Taejo as the foremost palace of Joseon. 'Gyeongbok' means 'greatly blessed'.
TIP_GYEONGBOK_002	MAP	Map_Gyeongbokgung	궁궐 앞 '드므'라는 큰 물항아리는 불을 끄는 방화수예요. 화마가 물에 비친 제 모습에 놀라 도망간다는 이야기도 전해져요.	1	TRUE	The big water jars called 'deumu' in front of the palace held fire-fighting water. Legend says fire demons flee when they see their own reflection.
TIP_GYEONGBOK_101	MAP	Map_Gyeongbokgung	시간이 지나면 화마가 나타나 건물에 불을 붙여요! 양동이로 제때 끄지 않으면 블록이 타버려요.	1	TRUE	As time passes, a fire demon appears and sets buildings ablaze! Put it out with a bucket in time or the blocks burn away.
TIP_GYEONGBOK_102	MAP	Map_Gyeongbokgung	양동이의 물은 드므(청동 항아리) 근처에서 자동으로 채워져요. 드므 위치를 미리 봐두세요!	1	TRUE	Buckets refill automatically near a deumu (bronze jar). Note where the deumu are ahead of time!
TIP_GYEONGBOK_103	MAP	Map_Gyeongbokgung	하늘에서 떨어진 사방신 석상은 무거워서 둘이 함께 옮겨야 해요. 받침대 색에 맞춰 배치하세요!	1	TRUE	The guardian statues that fall from the sky are heavy, so two of you must carry them. Place each on the pedestal of the matching color!
TIP_GYEONGBOK_104	MAP	Map_Gyeongbokgung	사방신 석상을 올바르게 모시면 정령이 깨어나 그 방향의 화재를 막아줘요.	1	TRUE	Enshrine a guardian statue correctly and its spirit awakens to block fires from that direction.
TIP_VERSUS_001	MODE	TeamVersus	아이템은 필드에 주기적으로 나타나요. 파츠를 완성해도 보상으로 받을 수 있답니다!	2	TRUE	Items appear on the field periodically. You can also earn them by finishing parts!
TIP_VERSUS_002	MODE	TeamVersus	지진 아이템은 상대 팀의 아직 고정되지 않은 블록을 흔들어 떨어뜨려요. 타이밍이 생명!	1	TRUE	The Earthquake item shakes down the enemy team's unfixed blocks. Timing is everything!
TIP_VERSUS_003	MODE	TeamVersus	비·눈·강풍·태풍 아이템은 상대 진영에만 악천후를 내려요. 우리 쪽은 쾌청!	1	TRUE	Rain, Snow, Strong Wind and Typhoon items bring bad weather only to the enemy side. Our side stays sunny!
TIP_VERSUS_004	MODE	TeamVersus	우산 아이템을 쓰면 우리 팀은 잠시 어떤 악천후도 무섭지 않아요.	1	TRUE	Use the Umbrella item and your team won't fear any bad weather for a while.
TIP_VERSUS_005	MODE	TeamVersus	안개 아이템은 상대 팀의 화면을 잠시 뿌옇게 가려요. 결정적인 순간에 사용해 보세요!	1	TRUE	The Fog item briefly blurs the enemy team's screen. Save it for a decisive moment!
TIP_VERSUS_006	MODE	TeamVersus	감속 아이템은 상대의 이동이나 작업 속도를, 부스트 아이템은 우리 팀 속도를 올려줘요.	1	TRUE	Slow items reduce the enemy's movement or work speed, while Boost items speed up your team.
TIP_VERSUS_007	MODE	TeamVersus	주문 해킹 아이템은 상대 팀이 잠시 새 주문을 받지 못하게 막아요.	1	TRUE	The Order Hack item stops the enemy team from receiving new orders for a while.
TIP_VERSUS_008	MODE	TeamVersus	대포 아이템은 조준해서 쏘면 상대의 완성된 파츠 하나를 부숴버려요!	1	True	Aim and fire the Cannon item to destroy one of the enemy's finished parts!
